infohref,infotext
https://www.ptt.cc/bbs/KoreaDrama/M.1520520448.A.A49.html,[新聞]《Return》繼續領跑水木劇 遙遙領先同檔劇
https://www.ptt.cc/bbs/KoreaDrama/M.1520521870.A.34A.html,[閒聊] 和遊記結局後創作４ [有雷]
https://www.ptt.cc/bbs/KoreaDrama/M.1520522891.A.614.html,[閒聊] 被尹斗俊的反差演技收服
https://www.ptt.cc/bbs/KoreaDrama/M.1520523675.A.B3F.html,[求薦] 還有懸疑劇有推的嘛!
https://www.ptt.cc/bbs/KoreaDrama/M.1520526327.A.CC2.html,[閒聊] 只是相愛的關係 給重看的你(圖多)ep14-15
https://www.ptt.cc/bbs/KoreaDrama/M.1520531419.A.F35.html,[心得] 微電影〈Anu & Huyga〉昭熙 延宇振主演
https://www.ptt.cc/bbs/KoreaDrama/M.1520564450.A.259.html,[新聞] 柳承龍、李荷妮等人演出電影《極限職業》
https://www.ptt.cc/bbs/KoreaDrama/M.1520575974.A.326.html,[情報] 《經常請吃飯的漂亮姐姐》Teaser兩則
https://www.ptt.cc/bbs/KoreaDrama/M.1520582970.A.6CD.html,[問題] 找一部韓劇
https://www.ptt.cc/bbs/KoreaDrama/M.1520585417.A.2E3.html,[情報] 愛奇藝台灣站 2018.3月起上架新戲清單
https://www.ptt.cc/bbs/KoreaDrama/M.1475758152.A.32B.html,[公告] 韓劇版版規 Ver.14 (16/10/06修訂) 
https://www.ptt.cc/bbs/KoreaDrama/M.1476509600.A.B66.html,[情報] 《韓國+台灣》韓劇節目表
https://www.ptt.cc/bbs/KoreaDrama/M.1441025983.A.233.html,[置底] 韓劇「求、推薦區」
https://www.ptt.cc/bbs/KoreaDrama/M.1519802608.A.B2C.html,[公告] 開始舉辦樂透-Misty樂透限時下注中
https://www.ptt.cc/bbs/KoreaDrama/M.1519835332.A.788.html,[置底] 3月難以發文討論之「閒聊區」
https://www.ptt.cc/bbs/KoreaDrama/M.1520415406.A.C16.html,[情報] 3月新劇: tvN《Live》
https://www.ptt.cc/bbs/KoreaDrama/M.1520420884.A.C77.html,[新聞] 李世榮談《花遊記》殭屍演技：觀眾反應比
https://www.ptt.cc/bbs/KoreaDrama/M.1520424132.A.B9A.html,[LIVE] tvN Mother EP13
https://www.ptt.cc/bbs/KoreaDrama/M.1520425861.A.440.html,[LIVE] 推理的女王2 EP3
